Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Machine Fly,"Chest, Core",Beginner,"Strength, Compound, Strength",Machine - Strength,"The Machine Fly, also known as the Pec Deck Fly or Seated Machine Fly, is an excellent exercise for isolating and targeting the chest muscles, particularly the pectoralis major","('Adjust the seat height so that the handles of the machine are at chest level when you sit down', 'Grasp the handles with an overhand grip (palms facing forward) or a neutral grip (palms facing each other), depending on the machine design', 'Tighten your abdominal muscles to maintain a stable torso throughout the exercise', 'Exhale as you bring the handles together in front of your chest in a wide arc, keeping your elbows slightly bent', 'Briefly pause at the peak contraction when the handles are together, focusing on squeezing your chest muscles', 'Inhale as you slowly and controlled return the handles to the starting position, allowing your chest muscles to stretch')"
Dumbbell Bench Press,Chest,Beginner,"Strength, Isolation",Dumbbell,"The Dumbbell Bench Press is an effective exercise for targeting the chest, shoulders, and triceps","('Sit on the edge of the bench with a dumbbell in each hand, resting them on your thighs', 'Position the dumbbells to the sides of your chest with your palms facing forward (pronated grip)', 'Press the dumbbells upward by extending your arms, bringing the weights directly above your chest', 'Hold the top position for a brief moment to maximize the contraction in your chest muscles', 'Lower the dumbbells slowly back to the starting position, keeping your elbows at about a 45-degree angle to your torso')"
Machine Leg Press,"Upper Legs, Lower Legs, Glutes",Beginner,"Strength, Compound, Strength",Machine - Strength,The leg press exercise is a variation of leg press workouts which targets the external muscles of the legs by placing your feet closely together,"('Start off sitting on a leg press machine with your feet on the crosspiece about 6 inces apart with your toes pointed outward.', 'Once in position, grab the handles on the sides of the machine, release the locks, slowly bend down at your knees and bring the weight as far as possible towards your chest.', 'Hold for a count and then return back to the starting position.', 'Repeat for as many reps and sets as desired.', 'Do not lock your knees at the top as this can result in injury.')"
Barbell Deadlift,"Back, Glutes, Upper Legs",Intermediate,"Strength, Compound",Barbell,The barbell deadlift is a classic bodybuilding exercise meant for putting on mass and building overall strength throughout the entire body,"('Start by standing in front of a barbell with your feet shoulder-width apart.  ', 'Pick up the barbell while keeping your arms extended straight down.  ', 'Stand up straight with the barbell in your hands, and refrain from moving your arms.  ', 'Bend back down at the knees with barbell.  ', 'Repeat for the desired amount of reps.')"
Barbell Incline Bench Press,Chest,Beginner,"Strength, Compound",Barbell,"The barbell incline bench press is an excellent exercise for targeting the upper portion of the pectoral muscles, as well as the shoulders and triceps","('Set an adjustable bench to an incline angle of about 30 to 45 degrees', 'Lie back on the incline bench with your feet flat on the floor', 'Lift the barbell off the rack with a controlled motion and move it directly above your upper chest with your arms fully extended', 'Inhale and lower the barbell slowly and under control to your upper chest (around the middle to upper part of your chest)', 'Exhale and press the barbell back up to the starting position by extending your arms')"
Barbell Bent-Over Row,Back,Beginner,"Strength, Compound",Barbell,"The barbell bent-over row is a great exercise for building strength and mass in the back muscles, including the latissimus dorsi, rhomboids, trapezius, and rear deltoids, as well as the biceps","('Load the barbell with an appropriate amount of weight for your fitness level', 'Bend at your hips and knees, and grasp the barbell with a grip slightly wider than shoulder-width apart', 'Lift the barbell to your shins, then stand up, keeping your back straight', 'Engage your core and back muscles', 'Inhale as you slowly lower the barbell back to the starting position with controlled movement, fully extending your arms')"
Dumbbell One-Arm Row,"Back, Biceps",Beginner,"Strength, Compound",Dumbbell,No Description,"('Start by kneeling over the side of a bench placing the knee and hand of the supporting arm on the bench and then position the opposite foot on the floor.', 'Grab a dumbbell from the floor opposite of the side supporting the body and pull the dumbbell up slowly to your chest, feeling a stretch in your back until it almost makes contact with your chest.', 'Hold this position for a count, then return slowly back to the starting position.', 'Repeat for as many reps and sets as desired and switch with the opposite arms.')"
Barbell Curl,Biceps,Beginner,"Strength, Isolation",Barbell,The barbell curl is a basic bicep exercise that helps increase the size of the muscles,"('Start off standing up straight with your feet shoulder-width apart, keeping your knees slightly bent and abs drawn in tight.', 'Grab a barbell with a shoulder width underhand (palms up) grip, lowering your arms down to your thighs fully and bending slightly at your elbows as this will be your starting position.', 'Slowly raise the bar towards your upper chest, squeezing your muscles and isolating the biceps.', 'Hold this position for a count and then return back to the starting position.', 'Refrain from swinging your hips or back during this exercise.')"
Dumbbell Alternating Bicep Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by standing with your feet shoulders width apart.  ', 'Pick up the barbells using a palm inward grip.  ', 'Curl each barbell alternating each time.  ', 'Repeat for the desired amount of reps.')"
Machine Seated Leg Curl,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The seated leg curl exercise is another option to the lying leg curls workout to help build the hamstrings,"('Start by adjusting the machine so that the footpad is above your heels, then sit upright with your abs tightly drawn in and your legs positioned in front of you.', 'Slowly curl your legs back towards your buttock and hold for a 1-2 count.', 'Return back to the starting position and repeat for as many reps and sets as desired.', 'Do not use momentum and resist swinging the weight or moving too quickly though the exercise.')"
Pull-Up,"Back, Shoulders, Core",Intermediate,"Strength, Compound",Pullup Bar,No Description,"('Grab the bar with an overhand grip ', 'Lift your self up till your chin is above the bar.', 'Pause for a few seconds.', 'Lower yourself down slowly.', 'Repeat for the desired amount of reps.', 'For an increased workout, wear ankle weights or a weighted vest.')"
Machine Leg Curl (Prone),Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Facing bench, stand between bench and lever pads.', 'Lie prone on bench with knees just beyond edge of bench and lower legs under lever pads. Grasp handles.', 'Raise lever pad to back of thighs by flexing knees. ', 'Lower lever pads until knees are straight.', 'Repeat for the desired amount of reps and sets.')"
Dumbbell Alternating Hammer Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The alternate hammer curl exercise uses a hammering (up and down) motion to isolate the biceps and to build bigger arms,"('Start off standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs drawn in tightly.', 'Grab a dumbbell in each hand with your palms facing inward and extend your arms out at the sides of your body.', 'While keeping your elbows locked in at your sides, slowly lift your left arm in an arc motion towards your left shoulder, isolating the bicep and squeeze the muscle.', 'Hold for a count and return back to the starting position.', 'Repeat the same steps with your right arm for as many reps and sets as desired.', 'Refrain from turning your wrists during this exercise.')"
Dip,"Triceps, Shoulders",Intermediate,"Strength, Compound, Strength",Machine - Strength,"Performing a bodyweight dip is an excellent way to build strength in the triceps, chest, and shoulders","('Position yourself between the parallel bars and grip them firmly with your hands, thumbs wrapped around the bars', 'Maintain an upright posture with your chest up and shoulders back', 'Lower your body by bending your elbows, keeping them close to your body', 'At the bottom of the movement, your elbows should be at about a 90-degree angle, and you should feel a stretch in your chest and triceps', 'Push yourself back up by straightening your arms, bringing your body back to the starting position')"
Machine Shoulder Press,"Shoulders, Core",Beginner,"Strength, Compound, Strength",Machine - Strength,"The Machine Shoulder Press is a popular exercise targeting the upper back and shoulder muscles, particularly the deltoids, and can also engage the triceps and upper chest","('Sit on the seat with your back firmly against the backrest', 'Keep your feet flat on the ground', 'Exhale as you press the handles upward', 'Inhale as you slowly lower the handles back to the starting position')"
Cable Rope Face Pull,"Back, Back",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by facing a high pulley cable machine with either a rope or dual handles connected to the machine.', 'Grab onto the handles and pull the weight directly towards your face, using your shoulders, and separating your shoulders as you pull the weights back.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Fly,"Chest, Core",Beginner,"Strength, Isolation",Dumbbell,"The Dumbbell Fly is a great exercise for targeting the chest muscles, particularly the pectoralis major","('Lie back on a flat bench with your feet flat on the floor', 'Keep your back flat against the bench and your head resting on the bench', 'Tighten your abdominal muscles to stabilize your torso throughout the exercise', 'Lower the dumbbells in a wide arc out to the sides, keeping the slight bend in your elbows throughout the movement', 'Reverse the motion, bringing the dumbbells back up in the same wide arc, keeping the slight bend in your elbows')"
Cable Tricep Pushdown (V-Bar),Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The triceps pushdown v-bar exercise uses the v-shaped bar to target the tricep muscle and build bigger arms,"('Start by standing in front of a cable machine and attaching a v-bar attachment to a high pulley.', 'Grab onto the v-bar with an overhand (palms facing down) grip, keeping your abs drawn in tightly and back straight as this will be your starting position.', 'Making sure that you keep your elbows in at your sides and push the bar straight down towards your thighs, until you feel a stretch in your tricep muscle.', 'Hold this position for a count, isolating the tricep and then return back to the start.', 'Repeat for as many reps and sets as desired.', 'You are able to place one foot in front of the other for a better stance.')"
Dumbbell Incline Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The incline dumbbell curl exercise uses an incline bench to change your body's position as you perform the bicep curl exercise,"('Start by taking an incline bench and adjusting it to a 45-degree incline angle, then grabbing dumbbells in each and sitting down with your back against he bench with your feet rested on the floor in front of you.', 'Once in position let your arms hang down at your sides and while keeping your elbows straight, raise the dumbbells up towards your head, squeezing your biceps on the way up.', 'In the top position, hold for a count and then return back to the starting position.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Dumbbell Tricep Extension,Triceps,Beginner,"Strength, Isolation",Dumbbell,The dumbbell standing triceps extension works the tricep muscles by extending your arms behind your neck,"('Start by standing with your feet shoulder width apart, keeping your back straight and your abs drawn in.', 'Hold a dumbbell in both hands, with your palms facing up.', 'Raise the dumbbell over your head and slowly lower the dumbbell in an arc behind your head and hold for a count.', 'Slowly raise the dumbbell back up to the starting position.')"
Machine Seated Calf Raise,Lower Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The seated calf raise exercise is one of the simplest and most effective calf workouts,"('Start off sitting at a calf raise machine, putting the balls of your feet on the footpad and your thighs under the leg pad above your knees as this will be your starting position..', 'Unlock the bar and slowly raise your toes up as high as possible, feeling a stretch in your calf muscles.', 'Once you reach the top position, hold for a count then return back to the start.', 'Repeat for as many reps and sets as desired.')"
Machine Seated Row,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start off sitting on a fixed row machine, grabbing the handles in front of you so that your arms are in a full extension and chest is up against the pad in front of you.', 'Slowly contract your back muscles moving your shoulder blades with your arms and pull back on the machine.', 'Hold as you reach a peak position and then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Reverse Fly,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by adjusting the handles on a fly machine so that they are fully to the rear in place for reverse flys and positioning the seat so that the handles are at shoulder level.', 'Grab the handles so that your hands are facing inwards and then pull your arms out to your sides and as far back as possible, contracting your rear deltoids.', 'Keep this motion until you feel a stretch in your shoulders then hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Shoulder Shrug,"Back, Core, Shoulders, Shoulders",Beginner,"Strength, Isolation",Dumbbell,The Dumbbell Shoulder Shrug is an excellent exercise for targeting the upper trapezius muscles,"('Stand with your feet shoulder-width apart', 'Tighten your abdominal muscles to maintain stability and support your lower back throughout the exercise', 'Lift your shoulders straight up towards your ears as high as you can', 'Briefly pause at the top of the movement, squeezing your trapezius muscles', 'Slowly lower your shoulders back to the starting position in a controlled manner')"
Machine Bench Press,"Chest, Triceps, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,The bench press machine exercise targets the chest muscles and offers more stability for people new to the exercise,"('Start by adjusting a bench press machine so that when you sit at the machine, the bars are positioned at chest height.', 'Place your hands upon the bars and place your feet flat on the foot rests in front of you as this will  be your starting position.', 'Press out, by extending your arms out as far as possible, in a slow and steady motion until you feel a stretch in your tricep muscles.', 'Hold this position for a count then return back to the start.', 'Repeat for as many reps and sets as desired.')"
Cable Rope Overhead Tricep Extension,Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The cable rope overhead triceps extension exercise works the tricep muscle by reaching behind your neck and helping build stronger and bigger arms,"('Start by standing with your feet shoulder-width apart, keeping your back straight and abs tightly drawn in.', 'Grab and hold onto a rope extension with both hands with your palms facing up and raise the rope over your head as this will be your starting position.', 'Slowly lower the rope attachment in an arc motion behind your head, feeling a stretch and isolating your tricep muscles.', 'Hold this position for a count, then slowly raise the rope back up to the start.', 'Repeat for as many reps and sets as desired.')"
Machine Hip Abduction,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The hip abduction exercise works the muscles of the outer thigh and strengthens the leg muscles,"('Start by sitting on the machine and place your knees against the pads.', 'Draw your abs in and abduct or move your thighs apart against the pads.', 'Slowly return to the starting position and repeat.')"
Barbell Military Press,"Shoulders, Triceps",Beginner,"Strength, Compound",Barbell,No Description,"('To begin this exercise; start off by taking a weighted barbell and have it pressed up against your chest with your palms facing outward.', 'With the barbell in position, lift it above your head with locked arms and hold for a few seconds squeezing your back and shoulders tightly.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Plank,"Core, Back",Beginner,"Strength, Isolation",Body Only,No Description,"('Start by kneeling on all fours and aligning both hands right below your shoulders keep your knees beneath your hips.', 'Extend both of your feet out behind you and squeeze on your core muscles, making sure that your body is aligned straight ', 'Hold this position for about 30 seconds to a minute.', 'Release, return back to the starting position and repeat for as many times as you would like to perform this exercise.')"
Cable Cross-Over,Chest,Beginner,"Strength, Isolation, Strength",Machine - Strength,"The cable cross-over is an excellent exercise for targeting the chest muscles, particularly the pectoralis major","('Set the pulleys to the highest position on the cable crossover machine', 'Stand in the center of the machine with your feet shoulder-width apart', 'Inhale and engage your core', 'Exhale and slowly reverse the motion, allowing your arms to move back to the starting position in a controlled manner')"
Dumbbell Hammer Curl,"Forearms, Biceps",Beginner,"Strength, Isolation",Dumbbell,The dumbbell hammer curl exercise uses a neutral grip to isolate the forearm muscles and increase muscle size,"('Start by standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs tight in.', 'Grab a dumbbell in each hand with your palms facing in (neutral grip), extend your arms so that they are at the sides of your body and keep your elbows locked as this will be your starting position.', 'Slowly lift your arms up in an arc towards your shoulders, isolating your biceps and continue until you reach the top position.', 'Hold for a count then return back to the starting position and repeat for as many reps and sets as desired.', 'Refrain from turning your wrists during this exercise.')"
Machine Ab Crunch,"Core, Back, Core",Beginner,"Strength, Isolation, Strength",Machine - Strength,"A Machine Ab Crunch, often referred to as a ""Crunch Machine"" exercise, is a popular way to target the abdominal muscles","('Ensure the seat height is adjusted so that your knees are at a 90-degree angle when seated', 'Choose an appropriate weight for your fitness level', 'Sit on the machine with your back pressed firmly against the back pad', 'Tighten your abdominal muscles before starting the movement', 'Exhale as you crunch forward', 'Aim to move through a full range of motion, but avoid using momentum or swinging your body', 'Pause briefly at the peak of the movement to maximize the contraction in your abs')"
EZ Bar Curl,Biceps,Beginner,"Strength, Isolation",EZ Curl Bar,The EZ-Bar Curl exercise uses either an EZ-bar or curl bar to help isolate the biceps and build bigger arms,"('Start by standing up straight with your feet shoulder-width apart and your knees slightly bend.', 'Grab onto the barbell in front of you with an underhand (palms up) grip and lower the bar until it is up against your thighs as this will be your starting position.', 'Making sure that you keep your elbows still, raise the bar slowly up towards your chest until your forearms touch your biceps, feel a stretch and squeeze in those muscles.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.', 'You can lean up against a wall or a post to prevent yourself from swaying thus making the exercise ineffective.')"
Cable Bicep Curl,Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The standing biceps cable curl exercise uses a cable instead of a barbell to target the bicep muscles,"('Start by attaching a short bar to a cable pulley at the bottom of the machine then stand with your feet shoulder width apart, abs tight and knees bent slightly.', 'Grab the bar with a close underhand grip, lower your arms down towards your thighs and then, by bending through your elbows, raise the bar up towards your upper chest.', 'Once at the top position, squeeze your biceps and hold for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Barbell Romanian Deadlift,"Back, Glutes, Lower Legs",Beginner,"Strength, Compound",Barbell,The romanian deadlift exercise is similar to the regular deadlift but differs because you keep your legs straight throughout the workout and bring the bar all the way to the ground at each rep,"('Start off by placing a barbell in front of your feet on the ground and grabbing the barbell with a grip a bit wider than shoulder-width apart.', 'Bend your knees slightly, keeping your hips and back straight.', 'Lift the bar straight up concentrating on using your hips as you stand.', 'When you are standing the bar should be resting against your thighs.', 'Lower the bar to the floor with a slight bend in your knees flexing your hips back for stability.', 'Repeat for as many reps and sets as desired.')"
Machine Hip Adduction,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a hip adductor machine resting your knees against the pads.', 'Draw your abs in and adduct or move your thighs together using the pads bringing thighs together.', 'Slowly return to the starting position and repeat.')"
Machine Calf Raise,Lower Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The standing calf raise exercise uses a machine to target the lower calf muscles and is used by beginners for proper form,"('Start by standing up straight with your toes on the footpads of the machine and adjust your shoulder so that they are rested underneath the upper pads.', 'Slowly raise up on the balls of your feet so that your heels are lifted off of the pad and hold this position for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Walking,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"Walking, a form of cardio exercise, can be performed outside or on a treadmill and focuses upon burning calories, strengthening the core and leg muscles and increasing overall endurance and stamina",()
Crunch,Core,Beginner,"Strength, Isolation",Body Only,The crunch exercise is the most common abdominal exercise and often is improperly performed,"('Start by placing your hands across your chest or on either side of your head as this will be your starting position.', 'Then slowly raise your upper body (head, shoulders and chest) up off of the floor and towards your knees, squeezing and crunching your abs.', 'Make sure to keep your hips straight and your lower back against the floor during this exercise.')"
Treadmill Running,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"Treadmill running, just like regular running, uses the treadmill exercise equipment to burn calories, tone the body, increase stamina and endurance and is one of the most common forms of cardio exercises",()
Cable Lateral Raise,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,The standing cable lateral raise is a great exercise for building strong shoulders and targeting the middle deltoids,"('Attach a single handle to the low pulley of a cable machine', 'Stand with your side facing the cable machine', 'Inhale and brace your core', 'Hold the raised position for a brief count to maximize the contraction in your rear deltoids', 'Exhale and slowly lower your arm back to the starting position in a controlled manner, maintaining tension on the muscle throughout the movement', 'Complete the desired number of repetitions for one side, then switch sides and repeat the exercise with the other arm')"
Dumbbell Bicep Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The dumbbell bicep curl uses both arms at the same time to build stronger arms,"('Start by standing up straight with your feet shoulder-width apart, abs tight, knees slightly bent and a dumbbell in each hand holding in a palms up grip.', 'While holding the dumbbells extend your arms at the side of your body, then slowly lift your arms up towards your chest until your forearms touch your biceps.', 'Isolate the bicep and hold this position for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.', 'Refrain from swinging your arms during this exercise.')"
Back Hyperextension,"Back, Back",Beginner,"Compound, Strength",Machine - Strength,This back hyper-extension exercise gives strength to the back and core muscles as well as increases flexibility,"('Start by adjusting the hyper-extension machine so that your ankles are tucked under the footpads and thighs are across the top pad as this will be your starting position.', 'Keeping your arms folded across your chest and your back straight, slowly bend at your waist towards the ground until you feel a stretch in your core and lower back.', 'Hold for a count and then slowly return back to the starting position.', 'Refrain from arching your back during this exercise.')"
Barbell Hip Thrust,"Glutes, Lower Legs, Upper Legs",Intermediate,Compound,Barbell,No Description,"('To begin this exercise; start off with your body seated on the ground with your back rested upon a bench. ', 'Keep a weighted barbell above your hips as this will be your starting position.', 'Lean your back against the bench and rest your shoulders on the top of it.', 'Then push your hips up vertically and keep the bar rested in your pelvis region, your back and heels should support the weight of the bar.', 'Repeat this exercise for as many repetitions as needed.')"
Machine Lat Pulldown,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a lat pull down machine, grabbing the handles with an overhand grip, keeping your knees positioned underneath the padding and feet flat on the floor.', 'Once in position, slowly pull down on the handles and bring them down towards your sides, and squeeze with your lat and back muscles.', 'Hold for a count then return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Shoulder Extension,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,"The cable shoulder extension exercise is another great way to work the back, specifically the latissiumus dorsi muscle","('Begin by standing in front of a cable machine and attach a short bar to a high pulley.', 'Take hold of the handle with an overhand grip.', 'Keeping your arms straight and elbows at your side as you push the handle down towards your thighs.', 'Pause for a moment and then return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Preacher Curl Machine,"Biceps, Forearms",Beginner,"Strength, Isolation, Strength",Machine - Strength,The preacher curl machine exercise is a great exercise to support the triceps and isolate the biceps to build bigger and stronger arms,"('Start off by adjust the seat of the bench so your arms are level with the top of the bench and resting your forearms against the bench and extend them fully.', 'Grasp the bar underhand (palms up) and pull it towards your head, isolating and squeezing the bicep muscle.', 'Pause for a moment and then lower the bar back to starting position.', 'Repeat for as many reps and sets you desire.', 'Perform this exercise in a slow controlled manner for best results.')"
Calf Press On Leg Press,Lower Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The calf press on a leg press exercise uses a leg press machine to help work and strengthen your calf muscles,"('Sit down on a Leg Press Machine and press the plate up as if you were performing a leg press.', 'Slide your feet down so that the balls of your feet are pressing against the rack (with your heels hanging free),', 'Keeping the handles locked, press up and flex your toes and then slowly bring your toes back towards your body (dorsiflex).', 'Perform these movements slowly for maximum benefit.', 'Use lighter weight on this exercise than you are able to lift with a leg press until you are familiar with the movements.')"
Barbell Shoulder Press,"Shoulders, Triceps",Intermediate,"Strength, Compound",Barbell,"The barbell shoulder press is an effective exercise for building shoulder strength and mass, targeting the deltoid muscles, triceps, and upper chest","('Load the barbell with the desired weight', 'Stand with your feet shoulder-width apart', 'Inhale and brace your core, keeping a slight bend in your knees for stability', 'Exhale and slowly lower the barbell back to the starting position at shoulder height')"
Dumbbell Concentration Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The dumbbell concentration curl exercise limits you range of motion and concentrates on isolating the bicep muscle,"('Start by sitting on the end of a flat bench with your feet flat and your legs spread in a V position.', 'Grab a dumbbell in one of your hands with a palms up grip, placing this arm in between your legs and up against your inner thigh just above your knee.', 'Slowly curl the weight up towards your chest, squeezing your bicep on the motion upward and once you reach the top, hold the position for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.', 'Switch arms and repeat the same steps.')"
Dumbbell Incline Fly,"Chest, Shoulders",Beginner,"Strength, Compound",Dumbbell,The dumbbell incline fly exercise is a chest sculpting exercise that helps build a bigger and stronger chest,"('Start by lying on an incline bench set to 45-degrees and holding a dumbbell in each hand.', 'Lift the dumbbells up and over your chest, extending your arms fully as this will be your starting position.', 'While keeping a slight bend in your elbows, slowly  bring the dumbbells towards each other in an arc motion, squeezing your chest muscles in the process.', 'Hold this position for a count then slowly return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
